Station,Date,Discharge,Longitude,Latitude
USGS-02097517,2021-02-06,55.8,-79.0197222222222,35.8933333333333
USGS-02097517,2021-02-07,240.0,-79.0197222222222,35.8933333333333
USGS-02097517,2021-02-08,135.0,-79.0197222222222,35.8933333333333
USGS-02097517,2021-02-09,92.7,-79.0197222222222,35.8933333333333
USGS-02097517,2021-02-10,74.2,-79.0197222222222,35.8933333333333
USGS-02097517,2021-02-11,110.0,-79.0197222222222,35.8933333333333
USGS-02097517,2021-02-12,214.0,-79.0197222222222,35.8933333333333
USGS-02097517,2021-02-13,307.0,-79.0197222222222,35.8933333333333
USGS-02097517,2021-02-14,300.0,-79.0197222222222,35.8933333333333
USGS-02097517,2021-02-15,245.0,-79.0197222222222,35.8933333333333
USGS-02097517,2021-02-16,709.0,-79.0197222222222,35.8933333333333
USGS-02097517,2021-02-17,208.0,-79.0197222222222,35.8933333333333
USGS-02097517,2021-02-18,271.0,-79.0197222222222,35.8933333333333
USGS-02097517,2021-02-19,313.0,-79.0197222222222,35.8933333333333
USGS-02097517,2021-02-20,189.0,-79.0197222222222,35.8933333333333
USGS-02097517,2021-02-21,140.0,-79.0197222222222,35.8933333333333
USGS-02097517,2021-02-22,148.0,-79.0197222222222,35.8933333333333
USGS-02097517,2021-02-23,153.0,-79.0197222222222,35.8933333333333
USGS-02097517,2021-02-24,120.0,-79.0197222222222,35.8933333333333
USGS-02097517,2021-02-25,105.0,-79.0197222222222,35.8933333333333
USGS-02097517,2021-02-26,106.0,-79.0197222222222,35.8933333333333
USGS-02097517,2021-02-27,221.0,-79.0197222222222,35.8933333333333
USGS-02097517,2021-02-28,144.0,-79.0197222222222,35.8933333333333
USGS-02097517,2021-03-01,126.0,-79.0197222222222,35.8933333333333
USGS-02097517,2021-03-02,108.0,-79.0197222222222,35.8933333333333
USGS-02097517,2021-03-03,95.2,-79.0197222222222,35.8933333333333
USGS-02097517,2021-03-04,88.2,-79.0197222222222,35.8933333333333
USGS-02097517,2021-03-05,78.2,-79.0197222222222,35.8933333333333
USGS-02097517,2021-03-06,71.6,-79.0197222222222,35.8933333333333
USGS-02097517,2021-03-07,65.6,-79.0197222222222,35.8933333333333
USGS-02097517,2021-03-08,60.9,-79.0197222222222,35.8933333333333
USGS-02097517,2021-03-09,57.7,-79.0197222222222,35.8933333333333
USGS-02097517,2021-03-10,56.3,-79.0197222222222,35.8933333333333
USGS-02097517,2021-03-11,53.9,-79.0197222222222,35.8933333333333
USGS-02097517,2021-03-12,50.7,-79.0197222222222,35.8933333333333
USGS-02097517,2021-03-13,50.4,-79.0197222222222,35.8933333333333
USGS-02097517,2021-03-14,45.2,-79.0197222222222,35.8933333333333
USGS-02097517,2021-03-15,41.9,-79.0197222222222,35.8933333333333
USGS-02097517,2021-03-16,60.2,-79.0197222222222,35.8933333333333
USGS-02097517,2021-03-17,58.7,-79.0197222222222,35.8933333333333
USGS-02097517,2021-03-18,56.1,-79.0197222222222,35.8933333333333
USGS-02097517,2021-03-19,75.1,-79.0197222222222,35.8933333333333
USGS-02097517,2021-03-20,56.1,-79.0197222222222,35.8933333333333
USGS-02097517,2021-03-21,49.0,-79.0197222222222,35.8933333333333
USGS-02097517,2021-03-22,48.4,-79.0197222222222,35.8933333333333
USGS-02097517,2021-03-23,45.6,-79.0197222222222,35.8933333333333
USGS-02097517,2021-03-24,45.9,-79.0197222222222,35.8933333333333
USGS-02097517,2021-03-25,44.2,-79.0197222222222,35.8933333333333
USGS-02097517,2021-03-26,91.4,-79.0197222222222,35.8933333333333
USGS-02097517,2021-03-27,149.0,-79.0197222222222,35.8933333333333
USGS-02097517,2021-03-28,211.0,-79.0197222222222,35.8933333333333
USGS-02097517,2021-03-29,109.0,-79.0197222222222,35.8933333333333
USGS-02097517,2021-03-30,71.9,-79.0197222222222,35.8933333333333
USGS-02097517,2021-03-31,88.8,-79.0197222222222,35.8933333333333
USGS-02097517,2021-04-01,130.0,-79.0197222222222,35.8933333333333
USGS-02097517,2021-04-02,76.2,-79.0197222222222,35.8933333333333
USGS-02097517,2021-04-03,58.6,-79.0197222222222,35.8933333333333
USGS-02097517,2021-04-04,48.8,-79.0197222222222,35.8933333333333
USGS-02097517,2021-04-05,46.8,-79.0197222222222,35.8933333333333
USGS-02097517,2021-04-06,48.4,-79.0197222222222,35.8933333333333
USGS-02097517,2021-04-07,41.4,-79.0197222222222,35.8933333333333
USGS-02097517,2021-04-08,40.7,-79.0197222222222,35.8933333333333
USGS-02097517,2021-04-09,35.9,-79.0197222222222,35.8933333333333
